aruco_ids,fruit_id,height,x,y,ma,MA,angle,perimeter,coff,calyx_MA,calyx_ma,calyx_MA_rel,calyx_ma_rel,area,maMAratio,KPIN,gt_weight
279,321.0,1278.7509765625,3545.706787109375,1121.7713623046875,45.21165779770484,65.29035323428865,107.06507110595705,175.01183965707222,25.063481564952248,45.21165779770484,65.29035323428865,0.7631666868785603,0.1075355472302754,2318.405142320591,0.6924707182310197,4217,96.56
467,314.0,1269.9185791015625,3700.35009765625,1012.0690307617188,47.06489391472122,67.79644889338712,89.47907257080078,181.89621238583143,25.42767653961849,47.06489391472122,67.79644889338712,0.7428521383638453,0.1421002767302892,2506.0741226237874,0.694208836641766,4217,105.19
25,326.0,1277.5198974609375,2713.51123046875,1120.07763671875,46.540708778344815,53.35792812923518,105.60450744628906,157.10315514530114,7.563895734797573,46.540708778344815,53.35792812923518,0.2776410674820095,0.0747584847860086,1950.3916638051985,0.8722360558232553,4217,120.91
58,330.0,1329.8726806640625,3146.84716796875,1067.3822021484375,53.354148210883054,70.5538442734384,152.79730224609375,195.57291782539636,29.332796036798054,53.354148210883054,70.5538442734384,0.8220815876263344,0.2009000698922022,2956.5059299156374,0.7562188674525484,4217,132.34
467,314.0,1273.6737060546875,3694.455810546875,905.5078735351562,46.97041016029514,68.02847879387738,87.35541534423828,182.15728917438733,25.201444284039336,46.97041016029514,68.02847879387738,0.7301766456378302,0.1700854262484444,2509.6028196280986,0.6904521605225503,4217,105.19
279,321.0,1278.814697265625,3539.786865234375,1015.7636108398438,45.43035173378991,65.03885494082829,102.34074401855467,174.8941342988974,25.34518440004497,45.43035173378991,65.03885494082829,0.7770636955497672,0.0807365585648458,2320.64584275802,0.6985109405004439,4217,96.56
25,326.0,1290.61865234375,2707.314208984375,1016.4202270507812,46.56860107558383,54.44858900582814,94.15090942382812,158.9189110124225,6.6469455297771525,46.56860107558383,54.44858900582814,0.2420916835329208,0.03313569111649,1991.451358093218,0.855276544826518,4217,120.91
279,321.0,1283.6824951171875,3530.84912109375,906.3234252929688,45.26636310532725,65.90180413330624,99.1316375732422,176.13000683158114,25.394440660763443,45.26636310532725,65.90180413330624,0.767031883046095,0.0916744330106597,2342.948746392334,0.6868759315566292,4217,96.56
25,326.0,1291.7489013671875,2699.59375,907.8271484375,47.0174708064096,52.78050700441229,93.32560729980467,156.89301375943006,6.306398270669737,47.0174708064096,52.78050700441229,0.2356996494678062,0.0431831196033836,1949.0487532286256,0.8908112762630165,4217,120.91
467,314.0,1277.89794921875,3685.018310546875,795.1353149414062,47.253273437161006,67.21228160725914,82.71035766601562,181.17134817448732,25.005682658866053,47.253273437161006,67.21228160725914,0.7383660920888746,0.134632190480728,2494.424819159933,0.7030452219026813,4217,105.19
482,337.0,,4122.45166015625,931.9273681640624,,,101.05516815185548,,,,,0.6119385422340917,0.0137441869147796,,,4217,102.34
58,330.0,1334.3759765625,3138.732666015625,961.3870849609376,53.75140225858031,68.80153919379978,149.48736572265625,193.2321958236603,28.76170180573435,53.75140225858031,68.80153919379978,0.8196258234565701,0.2276845113628555,2904.543158832412,0.7812529034731863,4217,132.34
377,341.0,1328.681640625,1142.9100341796875,1063.5640869140625,44.8878986478462,52.21943746011972,61.995582580566406,152.75329361543493,16.73869510448654,44.8878986478462,52.21943746011972,0.6100427645725369,0.2240970476748705,1840.989643975408,0.8596013444634929,4217,91.23
25,326.0,1292.4156494140625,2699.41162109375,811.7365112304688,47.02499998677909,53.03934864423974,91.84971618652344,157.3227006341813,7.201368883656495,47.02499998677909,53.03934864423974,0.2537847117035476,0.1096289626075415,1958.920754234774,0.8866059103062944,4217,120.91
58,330.0,1333.714111328125,3140.10009765625,868.5213623046875,53.89088492756573,69.16343017090149,148.6232452392578,194.03834905384508,27.69381655926861,53.89088492756573,69.16343017090149,0.785313237112875,0.2145020385922351,2927.397654234077,0.7791817842811208,4217,132.34
279,321.0,1292.3486328125,3534.585205078125,809.9343872070312,46.29681614673654,66.4437423597387,94.62442779541016,178.50911869212004,24.65960460753822,46.29681614673654,66.4437423597387,0.7388687193845911,0.0954627100302712,2415.9897772966183,0.6967821874944523,4217,96.56
467,314.0,1277.9466552734375,3688.724365234375,698.126953125,47.36246242556831,68.45946699597614,77.66372680664062,183.4448781818604,24.99413675085172,47.36246242556831,68.45946699597614,0.7240441669755661,0.1201211587305113,2546.5820211748005,0.6918321819296686,4217,105.19
377,341.0,1327.048828125,1137.048095703125,967.9098510742188,45.72989283915977,52.0423565129203,57.6646614074707,153.7403768442263,17.42270408054579,45.72989283915977,52.0423565129203,0.6009923436161902,0.3132276922768108,1869.162323990037,0.8787052682329369,4217,91.23
377,341.0,1318.3056640625,1122.9256591796875,865.5715942382812,45.3271054206736,51.74010309905415,76.21429443359375,152.63924322508294,17.12200621546263,45.3271054206736,51.74010309905415,0.6445072036197402,0.1668743529581368,1841.938633892464,0.8760536354923154,4217,91.23
279,321.0,1276.50830078125,3525.7119140625,706.7069702148438,46.07931391877667,65.7305191277628,91.48307037353516,176.98941156170736,24.365706271382592,46.07931391877667,65.7305191277628,0.7379461860112632,0.0864473163717866,2378.827485728413,0.7010337744208384,4217,96.56
58,330.0,1325.609619140625,3131.26318359375,768.0053100585938,53.474780749727145,66.44901363969942,148.3878936767578,188.92747057597495,27.3508719756949,53.474780749727145,66.44901363969942,0.8105369341081265,0.1851803250692399,2790.7917642926027,0.8047490522534871,4217,132.34
467,314.0,1274.6904296875,3680.983154296875,594.8138427734375,47.74806363881238,68.36193490646825,74.67707061767578,183.82517573159345,25.148725756029567,47.74806363881238,68.36193490646825,0.7282011230199309,0.1653565998587145,2563.657429494422,0.6984598037510282,4217,105.19
