,aruco_ids,fruit_id,height,x,y,ma,MA,angle,perimeter,coff,calyx_MA,calyx_ma,calyx_MA_rel,calyx_ma_rel,area,maMAratio,KPIN,gt_weight,x_calyx_MA_rel,x_maMAratio,height_calyx_ma,perimeter_coff
0,461,-4011,1337.944214,1522.156982,1115.106323,42.7757615,47.53920212,16.13367462,141.9650904,9.520164117,42.7757615,47.53920212,0.400384122,0.010672295,1597.127249,0.899799736,7145,64.96,609.4474867842398,1369.6364505541567,63604.80041463054,1351.5309594927412
1,461,-4011,1357.697754,1520.706177,1052.629761,43.93305779,46.86791184,24.83638954,142.6670834,9.032371174,43.93305779,46.86791184,0.381501122,0.072335166,1617.174622,0.937380311,7145,64.96,580.1511127578307,1425.480029135881,63632.458639838005,1288.6220515808138
2,461,-4011,1356.130737,1519.370239,1004.312073,44.51191392,47.10515615,24.40704536,143.9405836,7.657333229,44.51191392,47.10515615,0.324177523,0.036120688,1646.77626,0.944947805,7145,64.96,492.5456805989381,1435.7255723253754,63880.75012619958,1102.2010138019323
3,461,-4011,1348.876587,1518.351563,951.0300293,45.15998355,46.67595601,23.49543762,144.2653839,6.548229578,45.15998355,46.67595601,0.280319617,0.008142504,1655.529326,0.967521341,7145,64.96,425.6237286115114,1469.0375403432058,62960.104237730935,944.6828539355049
4,461,-4011,1348.692871,1520.724609,897.2122803,44.73420347,46.61143528,24.61750984,143.500544,6.121487412,44.73420347,46.61143528,0.262556748,0.00051009,1637.653683,0.959725939,7145,64.96,399.27650794261154,1459.4788533329329,62864.51046921389,878.436773711152
5,461,-4011,1341.366699,1514.82312,847.9875488,45.14454921,46.24775163,41.81211853,143.56392,5.482904446,45.14454921,46.24775163,0.229887017,0.06888082,1639.78091,0.976145815,7145,64.96,348.23816833943306,1478.6882490532428,62035.19394010497,787.1472552531883
6,461,-4011,1346.465332,1512.572144,796.5987549,44.64920987,45.78345006,25.20682907,142.0568766,4.85603295,44.64920987,45.78345006,0.210434513,0.023738771,1605.506896,0.975225978,7145,64.96,318.2973825000058,1475.0996484279567,61645.82828514332,689.8328735436841
7,461,-4011,1344.920044,1510.931519,749.7732544,44.8674355,45.31405098,37.75493622,141.6576163,3.898133198,44.8674355,45.31405098,0.171537195,0.00762377,1596.812845,0.990143996,7145,64.96,259.1809546063492,1496.03977190501,60943.77543783984,552.2002568485759
8,461,-4011,1346.460449,1503.567139,699.5201416,45.09486857,45.66326634,9.937179565,142.5639428,3.919701906,45.09486857,45.66326634,0.126949206,0.113890658,1617.2754,0.987552407,7145,64.96,190.87665446374166,1484.8513472055536,61483.78209896298,558.808158320035
9,461,-4011,1341.745239,1503.524414,655.3375244,44.93182101,45.29622325,163.8956299,141.7304584,3.309413863,44.93182101,45.29622325,0.040037431,0.142572399,1598.475168,0.99195513,7145,64.96,60.19725498234043,1491.428755547544,60775.991890368605,469.04474383830484
10,461,-4011,1340.352661,1502.310059,608.4562988,44.54938534,45.47661337,118.8336716,141.4162584,2.632740334,44.54938534,45.47661337,0.052253196,0.105123334,1591.181472,0.979610882,7145,64.96,78.50050196569856,1471.6792819344619,60954.699743747675,372.31228737304633
11,461,-4011,1328.807739,1494.719971,573.194397,44.14642498,45.36400083,130.0839081,140.6091521,2.543947663,44.14642498,45.36400083,0.068791525,0.089336486,1572.884276,0.973159866,7145,64.96,102.82406625304579,1454.6014866858839,60280.03537490643,357.7023238812065
12,461,-4011,1337.944214,1492.938477,516.6366577,44.31921852,46.16753241,138.7062683,142.1510824,2.601062894,44.31921852,46.16753241,0.076666272,0.082778945,1607.010217,0.959965071,7145,64.96,114.45802735694772,1433.1687910719368,61769.58286261698,369.7439057725765
13,461,-4011,1332.303955,1493.373047,472.1257935,44.09348031,46.47418745,139.4596405,142.2879362,3.356952997,44.09348031,46.47418745,0.116744962,0.089630018,1609.444725,0.948773561,7145,64.96,174.3437796238392,1416.8728637036104,61917.74374504637,477.65391386353474
14,461,-4011,1321.731323,1485.700684,432.4355774,43.74857198,46.58181539,135.0083313,141.9255403,3.205127365,43.74857198,46.58181539,0.1261351,0.055020956,1600.553416,0.93917705,7145,64.96,187.3990043464084,1395.335985582102,61568.64448316646,454.8894330079403
15,461,-4011,1325.371338,1485.765991,375.3972168,44.00658445,47.17957078,142.5532837,143.2782388,3.675306936,44.00658445,47.17957078,0.148491957,0.046583463,1630.652908,0.932746605,7145,64.96,220.6242996476344,1385.8431839297104,62530.4508509543,526.5915048395043
16,461,-4011,1329.472168,1479.444214,328.1558228,44.41632674,47.60017926,142.2290649,144.5824542,3.633261426,44.41632674,47.60017926,0.151331257,0.020503615,1660.508522,0.933112594,7145,64.96,223.886152565997,1380.4880282038312,63283.11351798083,525.3058537212717
17,461,-4011,1281.980469,1470.009155,284.0705261,42.61075424,45.96533953,132.3249664,139.1848981,3.566887241,42.61075424,45.96533953,0.153526912,0.026904743,1538.294812,0.927019243,7145,64.96,225.68596617887934,1362.7267740711698,58926.66752841364,496.4568371727751
18,461,-4011,1319.703979,1470.078613,235.0812836,44.39783521,47.75920012,130.6417236,144.8080829,3.663529455,44.39783521,47.75920012,0.146162842,0.049537228,1665.362269,0.929618484,7145,64.96,214.8708680394981,1366.6122515778827,63028.00643222128,530.5086770262318
19,368,-4336,1419.093262,2654.514893,1065.50354,44.4887753,50.16381188,97.08742523,148.8135842,12.24835246,44.4887753,50.16381188,0.47630322,0.1304007,1752.793937,0.886869909,7145,66.78,1264.3539910738555,2354.209381594055,71187.12743514356,1822.7212301174873
20,368,-4336,1419.136841,2651.898926,1030.632446,44.54916593,50.5014382,96.54924774,149.451552,11.71727402,44.54916593,50.5014382,0.45933755,0.089643774,1766.986393,0.882136579,7145,66.78,1218.1167555164711,2339.337046435414,71668.45147310472,1751.1647874982789
21,368,-4336,1418.265503,2655.989746,970.8936768,43.84406388,50.36040529,90.22709656,148.1530964,11.72560107,43.84406388,50.36040529,0.452349644,0.130748894,1734.162935,0.870605859,7145,66.78,1201.4360160707506,2312.3202343115217,71424.42553990571,1737.1841056716532
22,368,-4336,1365.14624,2656.671143,945.0877686,42.2364722,49.3222859,90.51667786,144.0355889,10.99957124,42.2364722,49.3222859,0.438506262,0.104004184,1636.140949,0.85633647,7145,66.78,1164.9669322801974,2275.004388547485,67332.13314459001,1584.3297212009031
