,aruco_ids,fruit_id,height,x,y,ma,MA,angle,perimeter,coff,calyx_MA,calyx_ma,calyx_MA_rel,calyx_ma_rel,area,maMAratio,KPIN,gt_weight,x_calyx_MA_rel,x_maMAratio,height_calyx_ma,perimeter_coff
0,778,-2034,1512.318787,3241.549072,1133.574341,42.32960061,54.60636476,110.6545715,152.8778519,20.80013694,42.32960061,54.60636476,0.758376162,0.069402473,1815.420846,0.775177047,4217,51.22,2458.3135441580216,2512.7744373385503,82582.23131632274,3179.880254613039
1,778,-2034,1513.848999,3242.967285,1069.959473,42.14576355,55.54531063,106.5391693,154.1753786,20.79610696,42.14576355,55.54531063,0.74430818,0.062106647,1838.61673,0.758763666,4217,51.22,2413.767077697891,2460.645745884667,84087.21289636957,3206.2476639640945
2,778,-2034,1525.50415,3240.468994,1016.524048,41.74725949,56.29509854,103.8659286,154.8534474,20.60504815,41.74725949,56.29509854,0.731197377,0.053424976,1845.816128,0.74157894,4217,51.22,2369.4224286626286,2403.063561673386,85878.40644742893,3190.7627398704917
3,778,-2034,1520.395996,3251.855469,949.7393188,42.00475299,55.965012,102.1681137,154.6727275,20.71204296,42.00475299,55.965012,0.739123255,0.02869384,1846.311258,0.75055381,4217,51.22,2403.5219990368314,2440.692511827287,85088.98016089195,3203.5881767203737
4,778,-2034,1516.480225,3252.137451,888.7610474,42.56137509,55.43424519,99.32495117,154.595933,20.34002311,42.56137509,55.43424519,0.732959581,0.041743161,1853.035206,0.767781269,4217,51.22,2383.685303439368,2496.9302190912053,84064.93661843636,3144.484849932012
5,778,-2034,1514.819458,3262.020508,829.005127,42.77806022,55.28297705,99.38288879,154.6607721,20.05640043,42.77806022,55.28297705,0.722414941,0.073410196,1857.386955,0.773801675,4217,51.22,2356.5323528276103,2524.156932974751,83743.72933150743,3101.938376050572
6,778,-2034,1510.788574,3270.529053,760.5963745,43.05332919,55.901051,92.75567627,156.0929225,19.9799345,43.05332919,55.901051,0.714710047,0.005719472,1890.238456,0.7701703,4217,51.22,2337.4799731844955,2518.864341907726,84454.66912539127,3118.7263674635756
7,778,-2034,1508.365723,3280.768555,700.6363525,42.61409475,55.66965867,89.60847473,155.0655466,20.59268402,42.61409475,55.66965867,0.73979985,0.015907361,1863.209574,0.765481517,4217,51.22,2427.112084873717,2511.367690407298,83970.20494893775,3193.2158035223856
8,778,-2034,1496.645874,3284.814697,630.5584717,41.98660985,55.49604238,86.84558868,153.8614788,20.34959719,41.98660985,55.49604238,0.733322024,0.037929838,1830.04894,0.756569443,4217,51.22,2408.8269620689866,2485.1904256675034,83057.92285135614,3131.0191166377244
9,778,-2034,1488.087891,3293.599609,576.3012085,41.10330333,55.81179039,84.58158112,153.1117449,20.08921718,41.10330333,55.81179039,0.719622185,0.013361129,1801.741832,0.736462727,4217,51.22,2370.1473471437253,2425.613349690274,83052.84945438916,3075.895096104857
