aruco_ids,fruit_id,height,x,y,ma,MA,angle,perimeter,coff,calyx_MA,calyx_ma,calyx_MA_rel,calyx_ma_rel,area,maMAratio,KPIN,gt_weight,x_calyx_MA_rel,x_maMAratio,height_calyx_ma,perimeter_coff
146,-1842,1390.244385,1136.935913,1042.207031,46.39918981,58.82342495,67.34186554,165.8598893,11.96152126,46.39918981,58.82342495,0.405532149,0.029746818,2143.63375,0.788787628,7145,12.09,461.06406407416705,896.8009820032844,81778.93624320641,1983.9365920431962
146,-1842,1381.931885,1125.033447,997.7815552,46.21188965,58.53474132,70.72458649,165.1054179,12.20826774,46.21188965,58.53474132,0.416875873,0.034544805,2124.502823,0.789477985,7145,12.09,468.9993003723242,888.1891387951644,80891.02541033499,2015.6511470477885
146,-1842,1390.671509,1124.785156,934.8416748,46.30252226,58.45225948,70.95812225,165.1022677,11.86371783,46.30252226,58.45225948,0.405898719,0.002674724,2125.669955,0.792142557,7145,12.09,456.54885397061514,890.9901895494838,81287.89189551116,1958.7267170859232
146,-1842,1389.854248,1126.988281,881.7061157,46.33844855,58.01454713,73.69159698,164.4307435,11.70199593,46.33844855,58.01454713,0.403145719,0.012815235,2111.389109,0.798738434,7145,12.09,454.34050084831904,900.1688547022919,80631.76477442672,1924.1678912038742
146,-1842,1391.141846,1120.447632,835.5082397,46.1635944,58.21364265,75.9651413,164.502137,11.67034235,46.1635944,58.21364265,0.400738646,0.00913428,2110.64053,0.79300302,7145,12.09,449.0066669615863,888.5183559278487,80983.43429850532,1919.796256096602
146,-1842,1361.61438,1121.709229,790.7744751,44.99968529,56.53129919,78.11210632,159.9992424,11.49558411,44.99968529,56.53129919,0.406697362,0.00030251,1997.967062,0.796013641,7145,12.09,456.19618436535393,892.8958475195928,76973.82989718636,1839.2847485454784
146,-1842,1389.09314,1126.894775,741.4997559,45.90131827,57.78287587,78.9996109,163.401871,12.0659709,45.90131827,57.78287587,0.416924306,0.035304113,2083.119541,0.7943758,7145,12.09,469.82982200190116,895.1779384064449,80265.79648048853,1971.602220491554
146,-1842,1380.978027,1120.30835,693.2789307,45.53352394,57.82925183,83.58609772,162.9367639,11.33289765,45.53352394,57.82925183,0.391933679,0.003147199,2068.086586,0.787378749,7145,12.09,439.0865732299196,882.1069871172542,79860.92609507954,1846.5456687009146
146,-1842,1385.881104,1121.636597,647.6861572,46.09200324,57.84885114,84.47225189,163.7925528,11.77258128,46.09200324,57.84885114,0.406998395,0.006418506,2094.161657,0.796766095,7145,12.09,456.5042947522618,893.6820114007786,80171.62968303486,1928.2611408966918
146,-1842,1379.653564,1118.401489,605.4406128,46.36122929,57.62317228,85.15785217,163.8176488,11.58424808,46.36122929,57.62317228,0.400974303,0.039780822,2098.176352,0.804558782,7145,12.09,448.45025752593716,899.8197397768264,79500.015005088,1897.7042835815143
146,-1842,1377.138306,1107.651489,565.2203979,45.6954847,58.19303875,87.21190643,163.7786406,12.04591844,45.6954847,58.19303875,0.412898662,0.052633988,2088.498682,0.785239707,7145,12.09,457.3478177704078,869.7719306804738,80139.86280516736,1972.8641468816725
146,-1842,1373.504272,1108.794312,523.1815796,46.25865449,57.65597846,89.00421143,163.7199888,12.40152966,46.25865449,57.65597846,0.429498163,0.039612542,2094.726007,0.802321905,7145,12.09,476.2251201488488,889.6099646570044,79190.73272114998,2030.3782970380678
146,-1842,1338.551147,1100.205078,480.6508484,45.54996698,56.59883722,90.34508514,160.9246228,12.25394624,45.54996698,56.59883722,0.430078651,0.058223258,2024.815501,0.804786268,7145,12.09,473.17471576958974,885.4299387582688,75760.43847969729,1971.9616764834782
146,-1842,1376.594849,1097.719604,436.0411377,46.46537366,57.89418165,93.95944977,164.4194819,12.71045268,46.46537366,57.89418165,0.437837906,0.045626604,2112.779794,0.802591424,7145,12.09,480.6232527905092,881.0203401270761,79696.83224646033,2089.846044360066
146,-1842,1376.55127,1095.605957,379.1881714,46.63068291,57.95225782,92.95848083,164.7601487,12.56246712,46.63068291,57.95225782,0.42832163,0.081533644,2122.423365,0.804639623,7145,12.09,469.2717293399499,881.5679641970343,79774.25410148843,2069.7939507300607
146,-1842,1328.643188,1093.460571,363.4284668,44.94135684,56.58391988,97.46836853,160.0002671,12.26080781,44.94135684,56.58391988,0.431929608,0.051170439,1997.234649,0.79424255,7145,12.09,472.2979957954862,868.4729122354961,75179.83969889978,1961.732524461766
146,-1842,1365.119507,1092.316772,307.2047729,46.16721013,58.5274729,99.2740097,165.0275712,12.48330631,46.16721013,58.5274729,0.426232581,0.033678448,2122.185217,0.788812635,7145,12.09,465.5809969991485,861.6332711760141,79896.99495120387,2060.089720884934
146,-1842,1358.394897,1093.168091,264.8322754,45.41432811,57.52188425,100.4054947,162.251557,13.42437617,45.41432811,57.52188425,0.465997483,0.024155947,2051.709543,0.789513916,7145,12.09,509.41357890191495,863.0714203716543,78137.43403102466,2178.1259353361966
146,-1842,1350.430542,1093.193604,236.7304382,45.37898698,56.81485752,100.5994034,161.0286529,13.65420797,45.37898698,56.81485752,0.478794297,0.06062951,2024.914079,0.798716902,7145,12.09,523.4148631120764,873.1522086730948,76724.51883438637,2198.7187158255438
146,-1842,1372.33374,1089.354126,177.9216919,45.85108562,57.90449056,102.6242142,163.5292226,13.53784041,45.85108562,57.90449056,0.465286922,0.056301205,2085.219365,0.791839893,7145,12.09,506.8622282545401,862.5940545709485,79464.2860929995,2213.832517930165
146,-1842,1367.591919,1086.432861,109.1298447,46.22807234,57.35078447,106.6775589,163.1706666,13.48295131,46.22807234,57.35078447,0.468422386,0.066364328,2082.260345,0.806058239,7145,12.09,508.9094729784264,875.7281587293917,78432.46938948269,2200.022152988043
