aruco_ids,fruit_id,x,y,ma,MA,angle,perimeter,coff,calyx_MA,calyx_ma,calyx_MA_rel,calyx_ma_rel,area,maMAratio,KPIN,gt_weight
493,-1848,2558.828857,752.0641479,51.58353901,54.7803341,25.49838257,167.1137141,15.78708384,51.58353901,54.7803341,0.573912523,0.062746798,2219.349464,0.941643381,7145,97.13
98,-1828,3527.804199,658.0457764,50.74568614,60.44942496,83.1073761,174.997577,19.60768854,50.74568614,60.44942496,0.647575408,0.059288356,2409.246209,0.83947343,7145,88.27
97,-1867,1996.671143,983.1619873,51.03038059,57.3754383,25.27974129,170.429334,14.87087156,51.03038059,57.3754383,0.498413051,0.158191256,2299.559784,0.889411604,7145,114.98
450,-1817,2627.757324,529.0617676,46.9819886,56.03732576,47.37664795,162.135084,16.73926054,46.9819886,56.03732576,0.594765623,0.075013631,2067.753088,0.838405259,7145,85.31
425,-1811,837.8690186,335.2124939,47.10044795,62.49256228,108.6821289,172.9982805,15.04534943,47.10044795,62.49256228,0.481452076,0.010249709,2311.762692,0.75369686,7145,83.44
445,-1798,980.5023193,212.2031555,46.27008946,54.54763337,118.2832947,158.6311074,15.17457562,46.27008946,54.54763337,0.543849891,0.144590158,1982.285177,0.84825109,7145,75.89
45,-1808,1597.536987,289.1922607,48.46771411,54.57015766,161.5413971,161.9934704,13.17257614,48.46771411,54.57015766,0.474475959,0.102773224,2077.292377,0.888172514,7145,87.29
450,-1817,2619.967285,458.7415771,46.77648133,56.46914905,47.30290222,162.5353884,17.37176452,46.77648133,56.46914905,0.614105947,0.038432194,2074.572775,0.828354635,7145,85.31
493,-1848,2550.806885,680.552124,50.8044387,54.54358275,26.51700974,165.532406,15.17643523,50.8044387,54.54358275,0.555592544,0.053390853,2176.382376,0.931446673,7145,97.13
98,-1828,3519.355469,590.0794678,50.41417272,60.83657829,81.12811279,175.1359176,19.27885471,50.41417272,60.83657829,0.633003138,0.052935698,2408.836404,0.828681924,7145,88.27
97,-1867,1988.763062,912.5108032,50.98318932,56.9575514,24.46520805,169.6827986,13.80592111,50.98318932,56.9575514,0.458178117,0.163243937,2280.700154,0.895108516,7145,114.98
445,-1798,972.6550903,142.73909,46.63219464,55.15617618,121.8036728,160.1692372,15.85801301,46.63219464,55.15617618,0.566692977,0.145054967,2020.086129,0.845457352,7145,75.89
425,-1811,830.3403931,265.9219971,46.14396152,63.15666892,107.9252701,172.7304902,16.2519483,46.14396152,63.15666892,0.513242053,0.060012713,2288.885004,0.730626905,7145,83.44
45,-1808,1590.418457,219.4828949,48.03476647,55.34733893,163.0424957,162.595416,14.07091193,48.03476647,55.34733893,0.502160236,0.105050623,2088.056809,0.867878518,7145,87.29
45,-1808,1588.628052,158.1852722,48.49892342,56.06020213,161.6997375,164.4558885,15.01265976,48.49892342,56.06020213,0.525910867,0.125378674,2135.387219,0.865122165,7145,87.29
493,-1848,2549.024902,619.0142212,50.87614797,54.68651713,32.63678741,165.8714622,14.40843105,50.87614797,54.68651713,0.522404893,0.075548243,2185.165666,0.930323426,7145,97.13
98,-1828,3519.687012,532.9863281,49.99233985,61.07301148,78.04805756,174.89544,19.21101078,49.99233985,61.07301148,0.626719408,0.061263326,2397.964121,0.818566805,7145,88.27
97,-1867,1985.069702,851.6026611,50.85595602,57.07386506,27.09960747,169.6764675,13.20949014,50.85595602,57.07386506,0.437819665,0.16460643,2279.654275,0.891055056,7145,114.98
450,-1817,2618.098389,398.4778748,46.21049322,56.31557678,47.68814468,161.4389277,17.62696213,46.21049322,56.31557678,0.624301003,0.038888284,2043.897073,0.820563259,7145,85.31
